session_date,open,high,low,close,volume,ma20,ma50,ma200,rsi14,atr14,vol_index
2025-11-26,100500.0,102900.0,99300.0,102800.0,21314975,101080.0,93713.0,68727.75,56.5,4112.82,
2025-11-27,104100.0,105500.0,102700.0,103500.0,16453004,101050.0,94331.0,68990.25,57.4,4019.05,
2025-11-28,103800.0,103800.0,100500.0,100500.0,15292277,100700.0,94873.0,69229.25,52.7,3967.69,
2025-12-01,102000.0,102800.0,99900.0,100800.0,10905526,100185.0,95381.0,69468.75,53.1,3891.42,
2025-12-02,101200.0,103500.0,101000.0,103400.0,13649487,100110.0,95919.0,69715.75,56.6,3806.32,
2025-12-03,104700.0,105500.0,104000.0,104500.0,14697927,100305.0,96421.0,69969.75,58.1,3684.44,
2025-12-04,103900.0,105100.0,103200.0,105100.0,11931145,100600.0,96959.0,70217.25,58.9,3556.98,
2025-12-05,105300.0,108400.0,104600.0,108400.0,19755571,101125.0,97521.0,70480.75,63.1,3574.34,
2025-12-08,109700.0,110000.0,108000.0,109500.0,15527762,101570.0,98041.0,70749.25,64.4,3461.89,
2025-12-09,108900.0,109400.0,107300.0,108400.0,13671800,101815.0,98515.0,71012.25,62.0,3371.75,
2025-12-10,108300.0,109800.0,107400.0,108000.0,12365092,102060.0,98967.0,71272.25,61.1,3302.34,
2025-12-11,109200.0,110500.0,107300.0,107300.0,22994507,102285.0,99391.0,71528.75,59.6,3295.03,
2025-12-12,107100.0,108900.0,106800.0,108900.0,14210314,102870.0,99903.0,71788.75,62.0,3209.67,
2025-12-15,105300.0,105800.0,104600.0,104800.0,20594654,103080.0,100315.0,72019.25,53.2,3287.55,
2025-12-16,104900.0,105600.0,102700.0,102800.0,18852079,103330.0,100693.0,72241.25,49.5,3259.87,
2025-12-17,103500.0,108100.0,103400.0,107900.0,22297611,103900.0,101131.0,72489.75,57.6,3405.59,
2025-12-18,106400.0,108200.0,105700.0,107600.0,20445631,104250.0,101488.0,72741.25,57.0,3340.91,
2025-12-19,109700.0,109700.0,106200.0,106300.0,25917098,104825.0,101726.0,72986.75,54.4,3352.27,
